3147 [localhost-startStop-1] DEBUG com.sixthc.hbm.Crew  - setId : null
15189 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.Address.setSdBuildingName : null
15190 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.Address.setSdCode : Cary
15190 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.Address.setSdNumber : null
15190 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.Address.setSdPrefix : null
15190 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.Address.setSdSuffix : null
15190 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.Address.setSdSuiteNumber : null
15190 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.Address.setSdType : null
15190 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.Attachment  - setSdWithinTownLimitsFlag : 0
15190 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.Address.setSubdivision : null
15190 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.Address.setTdCode : null
15190 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.Address.setTdCountry : null
15190 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.Address.setTdName : NC
15190 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.Address.setTdPobox : null
15191 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.Address.setTdPostalCode : null
15191 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.Address.setTdRegion : null
15191 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.Address.setTdSection : null
15191 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.Address.setTdStateProvince : 27513
15191 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.Address.setTimeZone : null
15191 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.Address.setTownshipName : null
15194 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.WorkOrderWorkTasks  - setId
15196 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.WorkTask  - setId : 153
15197 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.WorkTask  - setCrewEta : null
15197 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.WorkTask.setInstructions : null
15197 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.WorkTask.setMrid : null
15197 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.WorkTask.setSubject : new task
15197 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.WorkTask.setTaskType : exchange
15201 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.WorkTaskAssets  - setId : 139
15202 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.WorkTaskAssets  - setCreatedAt : 2015-11-02 19:24:20.0
15202 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.WorkTaskAssets.setCreatedBy : null
15204 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.Asset  - setCriticalFlag : 0
15204 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.Asset.setMrid : 1234
15204 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.Asset.setUTCNumber : 91222
15215 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.WorkOrder.setComments : null
15215 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.WorkOrder.setCreatedBy : WMS
15215 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.WorkOrder.setDescription : null
15215 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.WorkOrder.setInternalBuildingName : Burnout
15215 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.WorkOrder.setInternalBuildingNum : 201
15215 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.WorkOrder.setInternalFloor : 2
15215 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.WorkOrder.setInternalRoomNum : 208
15215 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.WorkOrder.setKind : maintenance
15216 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.WorkOrder.setLocationComment : null
15216 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.WorkOrder.setMrid : b4b62e9b-4cd3-462e-993d-a53c50a3d6a8
15216 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.WorkOrder.setPriorityJustification : null
15216 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.WorkOrder  - setPriorityRank : 1
15216 [http-bio-8080-exec-3] DEBUG com.sixthc.hbm.MaterialItemNames  - com.sixthc.hbm.WorkOrder.setPriorityType : fire
